Personal ID,prolific_pid,age,gender,educ_choice,country,languages,occupation_major,lit_genres_choice,movie_genres_choice,news_freq,news_source_choice,remembered_headlines,num_dc_rem,num_cb_rem,question,clickability,interest,familiarity,credibility,emotion_choice,is_cb,is_descr,is_mystery,is_documentary,topic
R_4PHqw94crUJwEwm,0,45 - 54,Предпочитаю не указывать,Доктор наук или степень выше,ewrtg,wrth,rwth,Научная фантастика,Фэнтези,Раз в день,Журналы (уточните),,0,0,dc_e1,7,7,7,7,Любопытство,0,1,0,0,entertainment
R_4PHqw94crUJwEwm,0,45 - 54,Предпочитаю не указывать,Доктор наук или степень выше,ewrtg,wrth,rwth,Научная фантастика,Фэнтези,Раз в день,Журналы (уточните),,0,0,dc_h2,7,7,7,7,Любопытство,0,1,0,0,health
R_4PHqw94crUJwEwm,0,45 - 54,Предпочитаю не указывать,Доктор наук или степень выше,ewrtg,wrth,rwth,Научная фантастика,Фэнтези,Раз в день,Журналы (уточните),,0,0,dc_s1,7,7,7,7,Любопытство,0,1,0,0,science
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,dc_p1,7,7,7,7,Любопытство,0,1,0,0,politics
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,cb_p2,7,7,7,7,Любопытство,1,0,0,0,politics
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,cb_e1,7,7,7,7,Любопытство,1,0,0,0,entertainment
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,dc_e2,7,7,7,7,Любопытство,0,1,0,0,entertainment
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,dc_h1,7,7,7,7,Любопытство,0,1,0,0,health
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,cb_h2,7,7,7,7,Любопытство,1,0,0,0,health
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,cb_s1,7,7,7,7,Любопытство,1,0,0,0,science
R_49mQ9MFqVdi6J5x,0,45 - 54,Небинарный,Магистратура,dfv,dfv,db,Фэнтези,Научная фантастика,Раз в день,Газеты (уточните),,0,0,dc_s2,7,7,7,7,Любопытство,0,1,0,0,science
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,cb_p1,7,7,7,7,Любопытство,1,0,0,0,politics
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,dc_p2,6,7,7,7,Любопытство,0,1,0,0,politics
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,dc_e1,7,7,7,7,Любопытство,0,1,0,0,entertainment
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,cb_e2,7,7,7,7,Любопытство,1,0,0,0,entertainment
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,cb_h1,7,7,7,7,Любопытство,1,0,0,0,health
R_4DHF6qcvxwbZGqm,0,18-24,Мужской,Бакалавриат,sfyhty,tyjnty,tjntj,Фэнтези,Фэнтези,Несколько раз в день,X,,0,0,dc_h2,7,7,7,7,Страх,0,1,0,0,health
